Issue key,Summary,Issue Type,Status,Assignee,Reporter,Created,Due date,Issue id,Assignee Id,Reporter Id,Priority,Resolution,Updated
VFS-92,Integrated country and state api with ui in food form,Task,Completed,Meghanath M,Subramanya c,15-04-2024 15:50,15-04-2024 00:00,12345,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:37
VFS-91,backend api for QA and Admin,Task,Completed,Prashanth HK,Subramanya c,15-04-2024 15:49,,12344,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,Done,25-04-2024 10:14
VFS-91,backend api for QA and Admin,Task,Completed,Prashanth HK,Subramanya c,15-04-2024 15:49,,12344,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,25-04-2024 10:14
VFS-90,Api for States fetching from country,Task,Completed,Sumanth S Yattinahalli,Subramanya c,15-04-2024 14:42,,12341,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:7f8b55d5-f3d7-4015-9e48-c8a39e3f33f6,Medium,,15-04-2024 14:50
VFS-90,Api for States fetching from country,Task,Completed,Sumanth S Yattinahalli,Subramanya c,15-04-2024 14:42,,12341,712020:7f8b55d5-f3d7-4015-9e48-c8a39e3f33f6,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,15-04-2024 14:50
VFS-89,API for getting all country,Task,Completed,Sumanth S Yattinahalli,Subramanya c,15-04-2024 12:06,,12339,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:7f8b55d5-f3d7-4015-9e48-c8a39e3f33f6,Medium,,09-05-2024 11:24
VFS-89,API for getting all country,Task,Completed,Sumanth S Yattinahalli,Subramanya c,15-04-2024 12:06,,12339,712020:7f8b55d5-f3d7-4015-9e48-c8a39e3f33f6,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,09-05-2024 11:24
VFS-88,Excel updation(adding of new fields) and import of structure to test database,Task,Completed,Chirag N,Subramanya c,15-04-2024 10:11,,12333,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,25-04-2024 12:58
VFS-88,Excel updation(adding of new fields) and import of structure to test database,Task,Completed,Chirag N,Subramanya c,15-04-2024 10:11,,12333,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,25-04-2024 12:58
VFS-85,"I'm registering as a new user in admin, but i am getting email already exists",Bug,Completed,Meghanath M,Rohini G R,13-04-2024 12:07,,12324,712020:28df2154-a443-4df3-8edd-1d684e69870e,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:37
VFS-85,"I'm registering as a new user in admin, but i am getting email already exists",Bug,Completed,Meghanath M,Rohini G R,13-04-2024 12:07,,12324,712020:8466b986-4939-46af-821f-5bd62195978c,712020:28df2154-a443-4df3-8edd-1d684e69870e,Medium,Done,15-05-2024 15:37
VFS-83,Multiple language of the food,Subtask,Completed,Prashanth HK,Prashanth HK,12-04-2024 23:38,12-04-2024 00:00,12321,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,Done,25-04-2024 10:16
VFS-83,Multiple language of the food,Subtask,Completed,Prashanth HK,Prashanth HK,12-04-2024 23:38,12-04-2024 00:00,12321,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,Done,25-04-2024 10:16
VFS-81,"add one more field remarks ,that should be non-mandatory",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:22,15-04-2024 00:00,12319,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:36
VFS-81,"add one more field remarks ,that should be non-mandatory",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:22,15-04-2024 00:00,12319,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:36
VFS-80,"gl, novascore ,Net carb ,teaspoon of sugar,FF should be hidden only visible to QA",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:22,12-04-2024 00:00,12318,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:36
VFS-80,"gl, novascore ,Net carb ,teaspoon of sugar,FF should be hidden only visible to QA",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:22,12-04-2024 00:00,12318,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:36
VFS-79,"triglycerides have the option ""none""",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:21,13-04-2024 00:00,12317,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:36
VFS-79,"triglycerides have the option ""none""",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:21,13-04-2024 00:00,12317,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:36
VFS-78,"multiple reference 3 maximum reference for recipe, gi,and nutrients mandatory",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:20,13-04-2024 00:00,12316,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:35
VFS-78,"multiple reference 3 maximum reference for recipe, gi,and nutrients mandatory",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:20,13-04-2024 00:00,12316,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:35
VFS-77,prev next button to be fixed,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:19,15-04-2024 00:00,12315,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:35
VFS-77,prev next button to be fixed,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:19,15-04-2024 00:00,12315,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:35
VFS-75,"therapeutic use -dropdown ""others"" another field has to entry, ""None"" another dropdown",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:18,12-04-2024 00:00,12313,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:34
VFS-75,"therapeutic use -dropdown ""others"" another field has to entry, ""None"" another dropdown",Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:18,12-04-2024 00:00,12313,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:34
VFS-73,type of food- need to give tooltip,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:16,13-04-2024 00:00,12311,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:33
VFS-73,type of food- need to give tooltip,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:16,13-04-2024 00:00,12311,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:33
VFS-71,country under state dropdowns,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:15,12-04-2024 00:00,12309,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:33
VFS-71,country under state dropdowns,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:15,12-04-2024 00:00,12309,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:33
VFS-70,record of food multiple input play and delete option,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:15,13-04-2024 00:00,12308,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:32
VFS-70,record of food multiple input play and delete option,Task,Completed,Meghanath M,Subramanya c,12-04-2024 18:15,13-04-2024 00:00,12308,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:32
VFS-65,Need to show overall performance of each person,Task,To Do,Prashanth HK,Subramanya c,12-04-2024 18:12,,12303,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,15-05-2024 10:56
VFS-65,Need to show overall performance of each person,Task,To Do,Prashanth HK,Subramanya c,12-04-2024 18:12,,12303,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,15-05-2024 10:56
VFS-64,Make submitted button into green color in upload your food screen,Bug,To Do,Prashanth HK,Rohini G R,12-04-2024 17:41,,12302,712020:28df2154-a443-4df3-8edd-1d684e69870e,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,15-05-2024 10:56
VFS-64,Make submitted button into green color in upload your food screen,Bug,To Do,Prashanth HK,Rohini G R,12-04-2024 17:41,,12302,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:28df2154-a443-4df3-8edd-1d684e69870e,Medium,,15-05-2024 10:56
VFS-59,"In upload food file templet, the error comments is displaying to the right side, but it should display above",Bug,To Do,Prashanth HK,Rohini G R,12-04-2024 17:04,,12297,712020:28df2154-a443-4df3-8edd-1d684e69870e,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,15-05-2024 10:56
VFS-59,"In upload food file templet, the error comments is displaying to the right side, but it should display above",Bug,To Do,Prashanth HK,Rohini G R,12-04-2024 17:04,,12297,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:28df2154-a443-4df3-8edd-1d684e69870e,Medium,,15-05-2024 10:56
VFS-58,On overing the details in the upload food screen its displaying two templets which are in incorrect sizes,Bug,To Do,Prashanth HK,Rohini G R,12-04-2024 17:02,,12296,712020:28df2154-a443-4df3-8edd-1d684e69870e,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,15-05-2024 10:56
VFS-58,On overing the details in the upload food screen its displaying two templets which are in incorrect sizes,Bug,To Do,Prashanth HK,Rohini G R,12-04-2024 17:02,,12296,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:28df2154-a443-4df3-8edd-1d684e69870e,Medium,,15-05-2024 10:56
VFS-55,Excel sheet validation in food template,Task,Completed,Chirag N,Subramanya c,12-04-2024 10:16,,12280,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,,17-04-2024 17:41
VFS-55,Excel sheet validation in food template,Task,Completed,Chirag N,Subramanya c,12-04-2024 10:16,,12280,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,17-04-2024 17:41
VFS-53,fixed api in uploading food data excel,Task,Completed,Sridharan,Subramanya c,10-04-2024 11:59,,12262,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:d645edc1-64ba-4021-849f-b09c58ee1293,Medium,,17-04-2024 17:41
VFS-53,fixed api in uploading food data excel,Task,Completed,Sridharan,Subramanya c,10-04-2024 11:59,,12262,712020:d645edc1-64ba-4021-849f-b09c58ee1293,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,17-04-2024 17:41
VFS-52,Added place holder in food form data and units for food form data,Task,Completed,Meghanath M,Subramanya c,06-04-2024 11:42,,12247,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:8466b986-4939-46af-821f-5bd62195978c,Medium,Done,15-05-2024 15:32
VFS-52,Added place holder in food form data and units for food form data,Task,Completed,Meghanath M,Subramanya c,06-04-2024 11:42,,12247,712020:8466b986-4939-46af-821f-5bd62195978c,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,15-05-2024 15:32
VFS-51,changed the port and ip adress in env files,Subtask,Completed,Subramanya c,Subramanya c,06-04-2024 10:36,,12246,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,09-05-2024 11:23
VFS-51,changed the port and ip adress in env files,Subtask,Completed,Subramanya c,Subramanya c,06-04-2024 10:36,,12246,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,Done,09-05-2024 11:23
VFS-47,"Backend build, server deployment ,port sync , Header functionality",Story,Completed,Prashanth HK,Subramanya c,05-04-2024 17:46,05-04-2024 00:00,12242,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,09-05-2024 11:23
VFS-47,"Backend build, server deployment ,port sync , Header functionality",Story,Completed,Prashanth HK,Subramanya c,05-04-2024 17:46,05-04-2024 00:00,12242,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,09-05-2024 11:23
VFS-454,Admin - Migrate API's to new project,Task,In Progress,Omkar Bulli,Manjunath C,06-06-2024 11:44,06-06-2024 00:00,13310,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,712020:88e34e71-4b7a-48b5-826e-67c469b03306,Medium,,07-06-2024 10:25
VFS-454,Admin - Migrate API's to new project,Task,In Progress,Omkar Bulli,Manjunath C,06-06-2024 11:44,06-06-2024 00:00,13310,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,712020:88e34e71-4b7a-48b5-826e-67c469b03306,Medium,,07-06-2024 10:25
VFS-453,VFS - Build issue while deploying Backend Code in Azure App Services,Task,Completed,Manjunath C,Subburaj Reddy,06-06-2024 11:16,06-06-2024 00:00,13309,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,Done,06-06-2024 17:05
VFS-453,VFS - Build issue while deploying Backend Code in Azure App Services,Task,Completed,Manjunath C,Subburaj Reddy,06-06-2024 11:16,06-06-2024 00:00,13309,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,Done,06-06-2024 17:05
VFS-452,Functional Requirement of QA Module,Subtask,Completed,Chirag N,Chirag N,06-06-2024 11:13,07-06-2024 00:00,13308,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:26
VFS-451,QA - Migrate Existing API's to New Project Structure,Task,Ready to Review,Manjunath C,Subburaj Reddy,06-06-2024 10:05,06-06-2024 00:00,13291,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,07-06-2024 10:22
VFS-451,QA - Migrate Existing API's to New Project Structure,Task,Ready to Review,Manjunath C,Subburaj Reddy,06-06-2024 10:05,06-06-2024 00:00,13291,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,07-06-2024 10:22
VFS-450,Functional Requirement of Researcher Module,Subtask,Completed,Chirag N,Chirag N,06-06-2024 09:58,07-06-2024 00:00,13290,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:26
VFS-450,Functional Requirement of Researcher Module,Subtask,Completed,Chirag N,Chirag N,06-06-2024 09:58,07-06-2024 00:00,13290,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:26
VFS-449,Researcher - Migrate Existing API's to New Project Structure,Task,Ready to Review,Manjunath C,Subburaj Reddy,05-06-2024 18:17,05-06-2024 00:00,13289,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,06-06-2024 12:54
VFS-449,Researcher - Migrate Existing API's to New Project Structure,Task,Ready to Review,Manjunath C,Subburaj Reddy,05-06-2024 18:17,05-06-2024 00:00,13289,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,06-06-2024 12:54
VFS-446,Functional Requirement of Admin Module,Subtask,Completed,Chirag N,Chirag N,05-06-2024 13:13,06-06-2024 00:00,13283,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:25
VFS-446,Functional Requirement of Admin Module,Subtask,Completed,Chirag N,Chirag N,05-06-2024 13:13,06-06-2024 00:00,13283,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:25
VFS-445,Notification Module API,Task,In Progress,Manjunath C,Subburaj Reddy,05-06-2024 11:37,10-06-2024 00:00,13281,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,07-06-2024 11:55
VFS-445,Notification Module API,Task,In Progress,Manjunath C,Subburaj Reddy,05-06-2024 11:37,10-06-2024 00:00,13281,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,07-06-2024 11:55
VFS-444,Notification UI,Subtask,Ready to deploy,Subramanya c,Subburaj Reddy,05-06-2024 09:46,06-06-2024 00:00,13276,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,06-06-2024 11:02
VFS-444,Notification UI,Subtask,Ready to deploy,Subramanya c,Subburaj Reddy,05-06-2024 09:46,06-06-2024 00:00,13276,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,Medium,,06-06-2024 11:02
VFS-443,"Blocking the Select all option While filter is applied and dob ,age input field validation",Subtask,Ready to Review,Prashanth HK,Subramanya c,04-06-2024 20:51,05-06-2024 00:00,13272,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,07-06-2024 10:27
VFS-443,"Blocking the Select all option While filter is applied and dob ,age input field validation",Subtask,Ready to Review,Prashanth HK,Subramanya c,04-06-2024 20:51,05-06-2024 00:00,13272,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,07-06-2024 10:27
VFS-442,Recipes In Progress  - UI  Screen,Subtask,Ready to deploy,Sridharan,Subramanya c,04-06-2024 20:17,06-06-2024 00:00,13270,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:d645edc1-64ba-4021-849f-b09c58ee1293,Medium,,06-06-2024 13:01
VFS-442,Recipes In Progress  - UI  Screen,Subtask,Ready to deploy,Sridharan,Subramanya c,04-06-2024 20:17,06-06-2024 00:00,13270,712020:d645edc1-64ba-4021-849f-b09c58ee1293,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,06-06-2024 13:01
VFS-441,Blocking the Check box for the APPROVED and READY-TO-REVIEW status,Subtask,Ready to Review,Prashanth HK,Subramanya c,04-06-2024 17:24,04-06-2024 00:00,13269,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,07-06-2024 10:26
VFS-441,Blocking the Check box for the APPROVED and READY-TO-REVIEW status,Subtask,Ready to Review,Prashanth HK,Subramanya c,04-06-2024 17:24,04-06-2024 00:00,13269,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,07-06-2024 10:26
VFS-440,Bundling app - Build Configuration for new project,Subtask,Ready to Review,Manjunath C,Subburaj Reddy,04-06-2024 16:22,04-06-2024 00:00,13267,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,04-06-2024 17:03
VFS-440,Bundling app - Build Configuration for new project,Subtask,Ready to Review,Manjunath C,Subburaj Reddy,04-06-2024 16:22,04-06-2024 00:00,13267,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,,04-06-2024 17:03
VFS-439,Database Detailed document for VFS,Task,Completed,Chirag N,Manjunath C,04-06-2024 11:20,04-06-2024 00:00,13265,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,04-06-2024 16:28
VFS-439,Database Detailed document for VFS,Task,Completed,Chirag N,Manjunath C,04-06-2024 11:20,04-06-2024 00:00,13265,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:5d5f921f-95a9-481f-a2ea-93220f39ac9f,Medium,Done,04-06-2024 16:28
VFS-438,Functional Requirement of Login Module.,Subtask,Completed,Chirag N,Chirag N,04-06-2024 10:25,04-06-2024 00:00,13264,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:25
VFS-438,Functional Requirement of Login Module.,Subtask,Completed,Chirag N,Chirag N,04-06-2024 10:25,04-06-2024 00:00,13264,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,Done,07-06-2024 10:25
VFS-437,View parameter UI,Subtask,Ready to deploy,Pooja Mudegoud,Subburaj Reddy,04-06-2024 10:20,04-06-2024 00:00,13263,712020:e4820161-e894-4f74-baab-c4d0f8f9f5b4,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,Medium,,06-06-2024 11:46
VFS-436,View page UI,Subtask,In Progress,Pooja Mudegoud,Subburaj Reddy,04-06-2024 10:18,10-06-2024 00:00,13262,712020:e4820161-e894-4f74-baab-c4d0f8f9f5b4,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,Medium,,07-06-2024 11:33
VFS-435,QA Dashboard Integration,Subtask,ON HOLD,Pooja Mudegoud,Pooja Mudegoud,04-06-2024 10:17,04-06-2024 00:00,13261,712020:e4820161-e894-4f74-baab-c4d0f8f9f5b4,712020:e4820161-e894-4f74-baab-c4d0f8f9f5b4,Medium,,04-06-2024 10:17
VFS-434,Functional Requirements for VFS,Task,Ready to Review,Chirag N,Naveen,04-06-2024 10:06,05-06-2024 00:00,13260,712020:98f0cf74-53f8-43c8-ada5-24b8793c156d,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,Medium,,07-06-2024 12:19
VFS-434,Functional Requirements for VFS,Task,Ready to Review,Chirag N,Naveen,04-06-2024 10:06,05-06-2024 00:00,13260,712020:145d9d83-4826-4e40-ba25-83aec260f4f9,712020:98f0cf74-53f8-43c8-ada5-24b8793c156d,Medium,,07-06-2024 12:19
VFS-433,Pagination Design and Button Design,Subtask,Ready to Review,Prashanth HK,Subburaj Reddy,04-06-2024 10:01,04-06-2024 00:00,13259,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:4c805787-bb33-4589-862a-eb8b3936ae28,Medium,,06-06-2024 12:42
VFS-433,Pagination Design and Button Design,Subtask,Ready to Review,Prashanth HK,Subburaj Reddy,04-06-2024 10:01,04-06-2024 00:00,13259,712020:4c805787-bb33-4589-862a-eb8b3936ae28,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,Medium,,06-06-2024 12:42
VFS-432,Logout API Integration,Subtask,Ready to Review,Subramanya c,Subburaj Reddy,04-06-2024 09:38,07-06-2024 00:00,13254,712020:4dd394ee-5965-4286-aeb2-801ec027a3ac,712020:d05c4a89-b9dc-4f4f-a976-10ec785297db,Medium,,07-06-2024 10:26
